Species,Treatment,Tray_Num,Individual,ANPP,BNPP,Notes,,,,,,
CN ,S1,,546,0.2101,0.1625,,,,,,,
CN ,S1,,547,0.0663,0.0638,,,,,,,
CN ,S1,,548,0.0890,0.0922,,,,,,,
CN ,S1,,557,0.0983,0.0884,,,,,,,
CN ,S1,,558,0.1768,0.1088,,,,,,,
CN ,S1,,559,0.3712,0.1858,,,,,,,
CN ,S1,,560,0.0839,0.0867,,,,,,,
CN ,S1,,569,0.0745,0.0689,,,,,,,
CN ,S1,,570,0.0480,0.0293,,,,,,,
CN ,S1,,571,0.1405,0.0655,,,,,,,
CN ,S1,,572,0.0544,0.0508,,,,,,,
CN ,S1,,585,0.1114,0.0995,,,,,,,
CN ,S1,,586,0.0872,0.0753,,,,,,,
CN ,S1,,587,0.0708,0.0636,,,,,,,
CN ,S1,,588,0.0599,0.0439,,,,,,,
CN ,S1,,597,0.1039,0.1079,,,,,,,
CN ,S1,,598,0.2052,0.2046,,,,,,,
CN ,S1,,599,0.0455,0.0185,,,,,,,
CN ,S1,,600,0.0452,0.0367,,,,,,,
CN ,S3,,905,0.0548,0.0473,,,,,,,
CN ,S3,,906,0.1245,0.1533,,,,,,,
CN ,S3,,907,0.0567,0.0283,,,,,,,
CN ,S3,,908,0.1335,0.1152,,,,,,,
CN ,S3,,917,0.0522,0.0229,,,,,,,
CN ,S3,,918,0.0988,0.1148,,,,,,,
CN ,S3,,919,0.0622,0.0593,,,,,,,
CN ,S3,,920,0.0571,0.049,,,,,,,
CN ,S3,,929,0.0824,0.1296,,,,,,,
CN ,S3,,930,0.0475,0.0377,,,,,,,
CN ,S3,,931,0.0363,0.0293,,,,,,,
CN ,S3,,932,0.0723,0.0723,,,,,,,
CN ,S3,,941,0.0631,0.0924,,,,,,,
CN ,S3,,942,0.1525,0.2323,,,,,,,
CN ,S3,,943,0.0679,0.0614,,,,,,,
CN ,S3,,944,0.0759,0.0789,,,,,,,
CN ,S3,,953,0.0680,0.1362,,,,,,,
CN ,S3,,954,0.1123,0.0726,,,,,,,
CN ,S3,,955,0.2147,0.2526,,,,,,,
CN ,S3,,956,0.0918,0.045,,,,,,,
CN ,S3,,965,0.0744,0.0923,,,,,,,
CN ,S3,,966,0.0235,0.0219,,,,,,,
CN ,S3,,967,0.1063,0.3668,,,,,,,
